,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kaitangata,9,NZ,1619245895,74,-46.2817,169.8464,50.0,1.99
1,Shumskiy,100,RU,1619245896,87,54.8318,99.1328,35.38,4.68
2,Airai,86,TL,1619245896,74,-8.9266,125.4092,67.59,2.91
3,Cape Town,0,ZA,1619245896,82,-33.9258,18.4232,63.0,9.22
4,Kapaa,90,US,1619245897,73,22.0752,-159.319,75.2,16.11
5,Saldanha,72,ZA,1619245897,87,-33.0117,17.9442,53.6,2.3
6,Ostrovnoy,100,RU,1619245656,96,68.0531,39.5131,33.62,19.26
7,Vao,93,NC,1619245607,71,-22.6667,167.4833,75.96,13.13
8,Mossendjo,100,CG,1619245898,96,-2.9506,12.7261,72.05,1.34
9,Kahului,1,US,1619245697,78,20.8947,-156.47,73.4,13.8
10,Lebu,12,CL,1619245899,87,-37.6167,-73.65,51.71,10.09
11,Bluff,7,NZ,1619245899,86,-46.6,168.3333,48.99,1.01
12,Gravelbourg,100,CA,1619245899,39,49.8834,-106.5512,26.6,3.44
13,Viedma,5,AR,1619245900,58,-40.8135,-62.9967,55.85,12.59
14,Jamestown,1,US,1619245900,56,42.097,-79.2353,42.8,10.36
15,Vysokogornyy,67,RU,1619245901,77,50.1167,139.15,35.06,7.09
16,Klaksvík,94,FO,1619245901,100,62.2266,-6.589,44.6,3.44
17,Pisco,0,PE,1619245902,88,-13.7,-76.2167,64.4,5.75
18,Burgeo,100,CA,1619245902,95,47.6167,-57.6152,35.64,18.01
19,Saint-Philippe,0,RE,1619245902,74,-21.3585,55.7679,82.0,24.16
20,Busselton,5,AU,1619245903,45,-33.65,115.3333,81.0,4.0
21,‘Ewa Beach,1,US,1619245903,64,21.3156,-158.0072,75.2,5.75
22,Atuona,2,PF,1619245904,76,-9.8,-139.0333,80.19,19.17
23,Baykit,96,RU,1619245904,83,61.67,96.37,39.85,0.83
24,Hobart,40,AU,1619245904,51,-42.8794,147.3294,60.8,13.8
25,Punta Arenas,75,CL,1619245819,93,-53.15,-70.9167,46.4,4.61
26,Fairbanks,1,US,1619245858,45,64.8378,-147.7164,44.6,8.05
27,Rikitea,100,PF,1619245905,79,-23.1203,-134.9692,77.72,15.32
28,Itarema,75,BR,1619245700,89,-2.9248,-39.9167,76.42,8.23
29,Antalaha,37,MG,1619245906,64,-14.9003,50.2788,83.07,9.84
30,Cayenne,75,GF,1619245906,94,4.9333,-52.3333,77.0,4.61
31,Mazagão,75,BR,1619245907,94,-0.115,-51.2894,78.8,2.3
32,San Blas,78,MX,1619245907,69,21.5167,-105.2667,68.74,3.94
33,Ignalina,97,LT,1619245907,60,55.35,26.1667,38.43,11.03
34,Amapá,100,BR,1619245908,99,1.0,-52.0,70.75,1.32
35,Asău,0,RO,1619245908,81,46.4333,26.4,45.0,3.44
36,Longyearbyen,75,SJ,1619245747,68,78.2186,15.6401,24.8,11.5
37,Ushuaia,75,AR,1619245909,93,-54.8,-68.3,41.0,3.44
38,Guiratinga,2,BR,1619245909,62,-16.3494,-53.7583,64.35,3.15
39,Tiksi,100,RU,1619245910,84,71.6872,128.8694,22.86,22.44
40,San Angelo,1,US,1619245654,14,31.4638,-100.437,69.01,13.8
41,Hilo,90,US,1619245807,78,19.7297,-155.09,71.6,8.05
42,Albany,1,US,1619245637,57,42.6001,-73.9662,45.0,10.36
43,Teya,100,RU,1619245911,65,60.3778,92.6267,44.62,3.8
44,Souillac,75,MU,1619245662,94,-20.5167,57.5167,78.8,14.97
45,Yar-Sale,100,RU,1619245911,100,66.8333,70.8333,33.35,7.0
46,Zhezkazgan,100,KZ,1619245711,25,47.8043,67.7144,46.4,29.08
47,Tiarei,75,PF,1619245705,83,-17.5333,-149.3333,78.8,5.75
48,Hofn,100,IS,1619245912,73,64.2539,-15.2082,45.52,2.48
49,Kishapu,11,TZ,1619245912,61,-3.6167,33.8667,75.65,11.18
50,Mar del Plata,90,AR,1619245913,100,-38.0023,-57.5575,62.01,4.61
51,Salalah,0,OM,1619245913,58,17.0151,54.0924,86.85,11.32
52,Lima,75,PE,1619245913,88,-12.0432,-77.0282,64.4,8.05
53,Chokurdakh,26,RU,1619245636,89,70.6333,147.9167,9.91,2.1
54,Ancud,35,CL,1619245667,94,-41.8697,-73.8203,48.0,4.5
55,Bethel,1,US,1619245914,65,41.3712,-73.414,48.0,4.61
56,Pangnirtung,100,CA,1619245641,82,66.1451,-65.7125,27.54,7.31
57,Dicabisagan,7,PH,1619245915,64,17.0818,122.4157,84.24,9.15
58,Mataura,8,NZ,1619245916,86,-46.1927,168.8643,48.99,1.01
59,Portland,75,US,1619245669,66,45.5234,-122.6762,54.0,4.61
60,Margate,15,GB,1619245823,74,51.3813,1.3862,46.99,1.99
61,Bīdar,6,IN,1619245917,20,17.9,77.55,96.62,5.91
62,Belmonte,20,BR,1619245917,88,-15.8631,-38.8828,71.6,3.44
63,Baloda,25,IN,1619245917,6,22.15,82.4833,105.26,5.1
64,Ribeira Grande,40,PT,1619245918,77,38.5167,-28.7,57.2,19.57
65,Yellowknife,75,CA,1619245809,57,62.456,-114.3525,12.2,2.3
66,Kununurra,7,AU,1619245918,19,-15.7667,128.7333,91.4,14.97
67,Shebalino,100,RU,1619245919,63,51.2917,85.6772,34.66,6.35
68,Avarua,40,CK,1619245919,83,-21.2078,-159.775,78.8,12.66
69,Severo-Kuril'sk,97,RU,1619245919,93,50.6789,156.125,36.93,4.61
70,Bredasdorp,100,ZA,1619245920,93,-34.5322,20.0403,48.2,3.44
71,Dekar,0,BW,1619245920,28,-21.5333,21.9333,68.52,7.11
72,Povenets,100,RU,1619245921,87,62.8487,34.8262,38.19,4.41
73,San Jose,40,US,1619245862,71,37.3394,-121.895,53.6,1.88
74,Provideniya,73,RU,1619245666,76,64.3833,-173.3,34.92,3.06
75,Kirakira,100,SB,1619245922,75,-10.4544,161.9205,81.43,3.22
76,North Bend,90,US,1619245761,87,43.4065,-124.2243,48.99,4.61
77,Jumla,99,NP,1619245922,30,29.2747,82.1838,62.13,7.47
78,Mahébourg,75,MU,1619245923,94,-20.4081,57.7,78.8,14.97
79,Sørland,75,NO,1619245923,75,67.667,12.6934,35.6,23.02
80,Clyde River,90,CA,1619245923,92,70.4692,-68.5914,8.6,4.61
81,Iqaluit,90,CA,1619245812,86,63.7506,-68.5145,33.8,19.57
82,Carnarvon,0,AU,1619245924,54,-24.8667,113.6333,82.4,10.36
83,Jalu,57,LY,1619245924,13,29.0331,21.5482,82.45,21.5
84,Vostok,100,RU,1619245925,34,46.4856,135.8833,43.54,10.27
85,Los Llanos de Aridane,20,ES,1619245880,55,28.6585,-17.9182,64.4,4.61
86,Saint George,1,US,1619245768,15,37.1041,-113.5841,69.01,1.86
87,Nísia Floresta,75,BR,1619245926,89,-6.0911,-35.2086,78.8,2.3
88,Hermanus,100,ZA,1619245926,96,-34.4187,19.2345,55.0,6.44
89,Vardø,100,NO,1619245639,69,70.3705,31.1107,34.84,18.21
90,Castro,100,BR,1619245927,92,-24.7911,-50.0119,51.98,1.34
91,Impfondo,100,CG,1619245927,85,1.6381,18.0667,74.66,4.72
92,Karratha,0,AU,1619245928,21,-20.7377,116.8463,91.29,12.06
93,Lompoc,3,US,1619245928,82,34.6391,-120.4579,51.8,5.75
94,Puerto Escondido,28,MX,1619245894,73,15.85,-97.0667,79.52,5.17
95,Kavaratti,9,IN,1619245928,68,10.5669,72.642,84.6,5.46
96,Mount Gambier,75,AU,1619245900,88,-37.8333,140.7667,59.0,9.22
97,Cícero Dantas,100,BR,1619245929,96,-10.6,-38.3833,71.19,3.27
98,Xichang,7,CN,1619245929,12,27.8964,102.2634,88.93,4.72
99,Cam Ranh,20,VN,1619245930,55,11.9214,109.1591,93.2,10.36
100,Hirado,75,JP,1619245930,50,33.3597,129.5531,75.2,6.91
101,Puerto Carreño,74,CO,1619245721,63,6.189,-67.4859,84.34,6.96
102,Samaná,16,DO,1619245931,87,19.2056,-69.3369,74.39,6.08
103,Sattahip,20,TH,1619245931,70,12.6664,100.9007,91.99,8.05
104,Scottsbluff,90,US,1619245725,69,41.8666,-103.6672,36.0,3.44
105,Norman Wells,75,CA,1619245932,80,65.282,-126.8329,30.2,8.05
106,Barras,54,BR,1619245932,96,-4.2444,-42.2944,71.35,1.05
107,Angoram,100,PG,1619245933,77,-4.0625,144.0661,83.41,2.46
108,Kavieng,88,PG,1619245788,72,-2.5744,150.7967,81.75,3.51
109,Ilulissat,100,GL,1619245654,74,69.2167,-51.1,28.4,2.3
110,Kruisfontein,81,ZA,1619245934,94,-34.0033,24.7314,59.0,1.99
111,Tulun,100,RU,1619245934,83,54.5611,100.5792,34.83,9.53
112,Nishihara,90,JP,1619245934,78,26.1842,127.7558,71.6,23.02
113,Qaanaaq,36,GL,1619245935,66,77.484,-69.3632,13.42,8.28
114,Aasiaat,100,GL,1619245935,82,68.7098,-52.8699,18.61,8.03
115,Torbay,90,CA,1619245739,100,47.6666,-52.7314,39.0,11.5
116,Richards Bay,100,ZA,1619245936,84,-28.783,32.0377,64.17,19.42
117,Tancheng,97,CN,1619245936,81,27.4375,115.4976,73.08,9.33
118,Praia da Vitória,20,PT,1619245668,72,38.7333,-27.0667,57.2,35.41
119,Saint Anthony,90,US,1619245937,87,45.0205,-93.218,46.0,8.66
120,Wawa,90,NG,1619245937,70,9.9022,4.4192,81.97,7.38
121,Haapiti,75,PF,1619245938,83,-17.5667,-149.8667,78.8,5.75
122,Arua,92,UG,1619245938,70,3.0201,30.9111,73.13,5.39
123,Lüderitz,0,NA,1619245938,56,-26.6481,15.1594,71.76,5.66
124,Hillsboro,90,US,1619245880,76,45.5229,-122.9898,52.0,4.61
125,Vila Velha,0,BR,1619245907,88,-20.3297,-40.2925,71.6,4.61
126,Port Augusta,0,AU,1619245939,52,-32.5,137.7667,68.0,10.36
127,Bannūr,20,IN,1619245741,58,12.3308,76.8631,86.0,4.61
128,Eganville,1,CA,1619245940,52,45.5334,-77.0994,43.0,7.18
129,Cabedelo,75,BR,1619245940,94,-6.9811,-34.8339,75.2,5.75
130,Maţāy,22,EG,1619245767,41,28.419,30.7792,70.34,16.49
131,Kurchum,58,KZ,1619245941,39,48.5722,83.6542,42.13,6.33
132,Talnakh,100,RU,1619245941,99,69.4865,88.3972,33.28,11.3
133,Tuktoyaktuk,20,CA,1619245941,85,69.4541,-133.0374,12.2,9.22
134,Manokwari,100,ID,1619245942,81,-0.8667,134.0833,81.09,6.42
135,Murgab,12,TM,1619245942,43,37.4966,61.9714,73.4,11.5
136,Pitimbu,75,BR,1619245943,94,-7.4706,-34.8086,75.2,5.75
137,Vaini,75,TO,1619245943,94,-21.2,-175.2,78.8,3.44
138,Maxixe,75,MZ,1619245943,88,-23.8597,35.3472,66.2,5.23
139,Inuvik,94,CA,1619245752,69,68.3499,-133.7218,28.4,6.91
140,Wewak,88,PG,1619245944,72,-3.5534,143.6268,83.19,4.18
141,Arraial do Cabo,1,BR,1619245944,83,-22.9661,-42.0278,71.91,14.94
142,Hithadhoo,100,MV,1619245945,69,-0.6,73.0833,83.05,5.03
143,Zelenoborsk,93,RU,1619245945,64,61.4669,64.0333,48.42,2.89
144,Thinadhoo,22,MV,1619245945,65,0.5333,72.9333,82.94,4.03
145,Grand Gaube,60,MU,1619245946,81,-20.0064,57.6608,81.0,8.99
146,Butaritari,71,KI,1619245946,75,3.0707,172.7902,82.24,8.19
147,Waingapu,5,ID,1619245947,68,-9.6567,120.2641,84.52,9.8
148,Llanes,100,ES,1619245947,63,43.4198,-4.7549,64.0,6.29
149,Necochea,100,AR,1619245947,98,-38.5473,-58.7368,61.0,1.01
150,Nome,1,US,1619245716,75,64.5011,-165.4064,35.6,3.44
151,Aklavik,100,CA,1619245948,69,68.2191,-135.0107,28.4,6.91
152,Upernavik,100,GL,1619245948,84,72.7868,-56.1549,28.27,5.66
153,San Patricio,90,US,1619245949,89,28.017,-97.5169,78.8,5.75
154,Saint-Joseph,0,RE,1619245949,74,-21.3667,55.6167,82.0,24.16
155,Uyemskiy,75,RU,1619245950,71,64.4743,40.8524,51.8,8.95
156,Vikhorevka,100,RU,1619245950,26,56.1201,101.1636,42.8,11.18
157,Támara,20,HN,1619245950,73,14.15,-87.3333,69.8,2.3
158,Saskylakh,100,RU,1619245951,98,71.9167,114.0833,33.93,17.72
159,Dikson,100,RU,1619245951,98,73.5069,80.5464,31.77,13.53
160,Geraldton,2,AU,1619245868,25,-28.7667,114.6,87.8,12.66
161,Esperance,100,AU,1619245952,36,-33.8667,121.9,77.0,8.05
162,Deputatsky,11,RU,1619245952,81,69.3,139.9,13.64,3.31
163,Koumac,100,NC,1619245953,84,-20.5667,164.2833,77.97,9.06
164,Puerto Ayora,14,EC,1619245873,95,-0.7393,-90.3518,77.0,7.0
165,Cabo San Lucas,17,MX,1619245747,62,22.8909,-109.9124,68.0,10.6
166,Cherskiy,100,RU,1619245954,93,68.75,161.3,27.36,9.15
167,Lagoa,100,PT,1619245954,69,39.05,-27.9833,58.01,34.11
168,Nhulunbuy,15,AU,1619245955,54,-12.2333,136.7667,86.0,17.27
169,Saint Paul Harbor,90,US,1619245955,87,57.79,-152.4072,39.2,6.91
170,Coquimbo,0,CL,1619245674,76,-29.9533,-71.3436,53.6,5.75
171,Zlobin,0,HR,1619245956,41,45.2924,14.6541,57.2,4.61
172,Port Elizabeth,75,ZA,1619245956,94,-33.918,25.5701,59.0,8.05
173,Talara,22,PE,1619245956,74,-4.5772,-81.2719,71.08,13.58
174,Kutum,100,SD,1619245957,14,14.2,24.6667,85.3,16.04
175,Matara,57,LK,1619245957,62,5.9485,80.5353,88.18,8.61
176,Cockburn Town,24,TC,1619245958,77,21.4612,-71.1419,77.94,16.73
177,Chiredzi,0,ZW,1619245958,52,-21.05,31.6667,72.66,1.83
178,Port Alfred,1,ZA,1619245959,62,-33.5906,26.891,68.67,10.94
179,Bodden Town,100,KY,1619245959,1,19.2833,-81.25,79.0,9.71
180,Umluj,0,SA,1619245960,58,25.0213,37.2685,83.08,5.37
181,Riyadh,0,SA,1619245960,13,24.6877,46.7219,93.2,5.75
182,Isangel,40,VU,1619245960,74,-19.55,169.2667,82.4,5.75
183,Nakanojōmachi,100,JP,1619245961,23,36.5833,138.85,72.0,1.99
184,Kudahuvadhoo,13,MV,1619245961,64,2.6708,72.8944,83.73,7.83
185,Puri,20,IN,1619245764,30,19.8,85.85,100.4,9.22
186,Kirksville,90,US,1619245756,87,40.1948,-92.5833,50.0,5.75
187,Sabzawār,40,IR,1619245962,15,36.2126,57.6819,77.0,16.11
188,Tutóia,100,BR,1619245963,89,-2.7619,-42.2744,76.57,7.99
189,Kawalu,62,ID,1619245963,51,-7.3817,108.2082,86.38,6.89
190,Mezen',96,RU,1619245963,63,65.8522,44.24,55.15,12.24
191,Cristalina,17,BR,1619245802,64,-16.7686,-47.6136,58.03,2.46
192,Kailahun,100,SL,1619245964,93,8.2833,-10.5667,70.61,1.79
193,Sitka,20,US,1619245964,46,57.0531,-135.33,46.4,5.73
194,Jinchang,59,CN,1619245965,33,38.4953,102.1739,56.77,8.97
195,Tuatapere,14,NZ,1619245965,86,-46.1333,167.6833,48.99,1.01
196,Oeiras do Pará,100,BR,1619245966,98,-2.0031,-49.8544,73.96,1.72
197,Muromtsevo,25,RU,1619245966,37,56.3724,75.2418,48.78,6.31
198,Port Hardy,90,CA,1619245966,93,50.6996,-127.4199,46.4,2.3
199,Ballina,5,AU,1619245720,56,-28.8667,153.5667,71.6,8.05
200,Cap Malheureux,50,MU,1619245967,81,-19.9842,57.6142,81.0,8.99
201,Inhambane,75,MZ,1619245967,88,-23.865,35.3833,66.2,5.59
202,San Cristobal,80,VE,1619245968,74,7.7669,-72.225,69.78,0.58
203,Dukat,100,RU,1619245931,87,62.55,155.55,11.75,6.82
204,Hamilton,90,US,1619245686,66,39.1834,-84.5333,48.99,5.75
205,Touros,40,BR,1619245969,94,-5.1989,-35.4608,75.2,3.44
206,Ginir,15,ET,1619245969,63,7.1333,40.7,67.84,4.97
207,Codrington,61,AU,1619245969,82,-38.2667,141.9667,57.02,11.18
208,Matadi,100,CD,1619245970,87,-5.8167,13.45,78.13,2.06
209,Sistranda,20,NO,1619245768,80,63.7256,8.834,35.6,12.66
210,Rio das Ostras,0,BR,1619245970,100,-22.5269,-41.945,62.6,2.3
211,Morón,100,AR,1619245911,99,-34.6534,-58.6198,64.0,1.01
212,Samarai,57,PG,1619245971,77,-10.6167,150.6667,83.52,11.99
213,Khatanga,100,RU,1619245695,100,71.9667,102.5,32.85,16.82
214,Portales,1,US,1619245971,66,34.1862,-103.3344,48.99,18.41
215,Avera,1,US,1619245774,82,33.194,-82.5271,55.4,3.44
216,Ahipara,11,NZ,1619245972,82,-35.1667,173.1667,60.73,7.14
217,Katsuura,75,JP,1619245973,48,35.1333,140.3,69.01,9.22
218,Faanui,100,PF,1619245973,73,-16.4833,-151.75,80.49,9.33
219,Sarakhs,24,IR,1619245973,46,36.5449,61.1577,75.2,9.22
220,Goderich,100,CA,1619245974,61,43.7501,-81.7165,46.4,8.05
221,Verāval,100,IN,1619245974,50,20.9,70.3667,89.58,12.35
222,Laas,0,IT,1619245975,75,46.6166,10.7002,51.01,3.44
223,Kousséri,0,CM,1619245975,58,12.0769,15.0306,84.2,8.05
224,São Filipe,77,CV,1619245975,76,14.8961,-24.4956,70.77,11.16
225,Senanga,7,ZM,1619245976,49,-16.1167,23.2667,72.45,5.01
226,Agidel,100,RU,1619245976,90,55.9077,53.9355,45.09,9.69
227,Fethiye,75,TR,1619245976,56,36.6217,29.1164,69.8,5.75
228,Burnie,10,AU,1619245904,64,-41.0667,145.9167,55.9,12.19
229,East London,0,ZA,1619245736,77,-33.0153,27.9116,62.6,4.61
230,Biak,99,ID,1619245977,69,-0.9131,122.8766,81.88,5.91
231,Port Hedland,0,AU,1619245978,27,-20.3167,118.5667,91.4,16.11
232,Narsaq,7,GL,1619245978,80,60.9167,-46.05,33.8,2.3
233,Isla Mujeres,20,MX,1619245979,83,21.2311,-86.731,80.01,8.05
234,Motala,0,SE,1619245979,52,58.5371,15.0365,37.4,11.5
235,New Norfolk,62,AU,1619245979,71,-42.7826,147.0587,57.99,1.99
236,Mae Sot,0,TH,1619245980,49,16.7167,98.5667,91.4,8.05
237,Dothan,75,US,1619245980,77,31.2232,-85.3905,66.0,8.05
238,Neiafu,40,TO,1619245981,83,-18.65,-173.9833,80.6,3.44
239,Parrita,0,CR,1619245981,73,9.5201,-84.3225,69.8,4.61
240,Tocopilla,28,CL,1619245981,75,-22.092,-70.1979,63.21,3.85
241,Makkah al Mukarramah,74,SA,1619245982,18,21.4267,39.8261,93.88,5.37
242,Baruun-Urt,97,MN,1619245712,23,46.6806,113.2792,53.96,14.12
243,Pontian Kecil,40,MY,1619245983,89,1.4801,103.3899,80.6,4.61
244,Lake Havasu City,1,US,1619245749,18,34.4839,-114.3224,77.0,9.22
245,Tautira,75,PF,1619245983,78,-17.7333,-149.15,78.8,3.44
246,Belyy Yar,0,RU,1619245983,27,53.6039,91.3903,48.2,6.71
247,Gilbués,20,BR,1619245984,93,-9.8317,-45.3439,70.47,3.11
248,Conde,75,BR,1619245891,94,-7.2597,-34.9075,75.2,5.75
249,Borogontsy,100,RU,1619245984,73,62.6683,131.1683,30.67,9.46
250,Mallow,40,IE,1619245899,71,52.1333,-8.6333,46.4,12.66
251,Hong Kong,51,HK,1619245803,78,22.2855,114.1577,80.01,11.88
252,Taloqan,17,AF,1619245985,18,36.7361,69.5345,73.27,3.98
253,Te Anau,7,NZ,1619245986,81,-45.4167,167.7167,44.92,4.09
254,Tasiilaq,90,GL,1619245986,70,65.6145,-37.6368,37.4,19.57
255,Guerrero Negro,95,MX,1619245987,84,27.9769,-114.0611,58.14,10.94
256,South Venice,40,US,1619245987,83,27.0531,-82.4243,71.6,12.66
257,Hasaki,75,JP,1619245987,59,35.7333,140.8333,72.0,12.66
258,Igarka,100,RU,1619245988,99,67.4667,86.5833,33.44,16.71
259,Christchurch,90,NZ,1619245855,88,-43.5333,172.6333,57.99,5.75
260,Alofi,35,NU,1619245988,94,-19.0595,-169.9187,78.8,5.75
261,Nabire,100,ID,1619245989,84,-3.3667,135.4833,82.02,2.46
262,Dingle,99,PH,1619245989,60,10.9995,122.6711,87.78,1.07
263,Westport,1,US,1619245990,66,41.1415,-73.3579,50.0,8.05
264,La Rioja,20,ES,1619245990,71,42.25,-2.5,53.01,12.66
265,Acapulco de Juárez,93,MX,1619245991,65,16.8634,-99.8901,77.74,3.6
266,Grindavik,75,IS,1619245991,100,63.8424,-22.4338,44.6,20.71
267,Sainte-Rose,4,GP,1619245991,83,16.3324,-61.6979,75.2,5.75
268,Cidreira,7,BR,1619245992,87,-30.1811,-50.2056,67.5,12.08
269,Price,1,US,1619245756,35,39.5994,-110.8107,39.2,10.36
270,Morris,1,US,1619245983,75,40.8334,-74.5329,51.01,5.7
271,Bubaque,100,GW,1619245993,66,11.2833,-15.8333,77.45,12.28
272,Kayes,97,ML,1619245993,16,14.0,-11.0,88.61,12.62
273,Ternate,25,ID,1619245993,76,0.8,127.4,83.8,11.3
274,Kaeo,0,NZ,1619245994,78,-35.1,173.7833,62.01,4.0
275,Noumea,90,NC,1619245804,83,-22.2763,166.4572,78.8,6.91
276,Punta Gorda,75,US,1619245920,83,26.9298,-82.0454,73.0,8.05
277,Kyshtovka,64,RU,1619245736,40,56.555,76.6271,46.9,6.38
278,Barrow,1,US,1619245995,80,71.2906,-156.7887,26.6,3.44
279,Atyrau,13,KZ,1619245741,82,47.1167,51.8833,57.2,8.95
280,Peru,90,US,1619245995,81,40.7537,-86.0689,50.0,3.44
281,Aksu,26,CN,1619245996,28,41.1231,80.2644,60.03,2.75
